Id,UserName,UserURL,Version,Score,Title,Text,URL
gp:AOqpTOGEk7DOPffavYEiEYk9nrlhf6O6g_lwIPlcWJfgDGOVv8pw520T9w3Ayz7LARyyxDwpfGFAR7HikEbIr7Q,Freddy Wines,https://play-lh.googleusercontent.com/a-/AOh14GgK-Mvh8Ith56Q8KSAgTmF2L8W2u79PqwTvTJA3,1.18.2.03,3,,"Currently I have found that there is a sign in bug, I will be signed in and the game will register, but at the same time, I can see a statement in all of my worlds stating that I need to restart. I have restarted the game and often times I get an error code creeper or glowstone, please fix as I would like to play multiplayer again. Oh and as an addition, Minecraft typically crashes, but I understand that one a bit more. I think it has to do with lan party games.",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOGEk7DOPffavYEiEYk9nrlhf6O6g_lwIPlcWJfgDGOVv8pw520T9w3Ayz7LARyyxDwpfGFAR7HikEbIr7Q
gp:AOqpTOH_NdxdBn2JbB5xoBixiHcgBXlWrUbLpupW6P3TwDZzGGau3rS5O5V2tSUEVLohHWHZcO-rJC4oKrQo2c8,Anita Nerren,https://play-lh.googleusercontent.com/a/AATXAJwIgVpN_KsAsVn3iPEoZ-3TNfmiLB4_-O8GOtV0=mo,1.18.2.03,5,,"Its an awsome game i suggest you get this game!!!!! Its really fun to play with your friends and make challengea building. You can also by yourself, on creative or survival, i rather play creative because i get all me resources already. In survival you have to work for your resources. And you can fly in crative!!!! I hope this helpe d you make your desision.",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOH_NdxdBn2JbB5xoBixiHcgBXlWrUbLpupW6P3TwDZzGGau3rS5O5V2tSUEVLohHWHZcO-rJC4oKrQo2c8
gp:AOqpTOEz9b3yOM5PCQ3rPQEiwgee8WPxkZm0JDy3kvv-yubrtCDCgDlx9tnqR2LBysXQtrRLCfRg_sHi4xGlV5I,Alex Diggins,https://play-lh.googleusercontent.com/a/AATXAJx_6X6CPOh9n4DqVNF8dg_M3bBXdmsqFhOYG-Ll=mo,1.18.2.03,4,,"Amazing game totally recommend! Time killer, me and my sister play all the time and never get bored! One problem, MineCoins. I don't get why we have to pay though. It's annoying when I want for example Skyblock. It is so expensive. We should be able to earn coins and maybe pay sometimes. Please fix, otherwise totally recommend.",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEz9b3yOM5PCQ3rPQEiwgee8WPxkZm0JDy3kvv-yubrtCDCgDlx9tnqR2LBysXQtrRLCfRg_sHi4xGlV5I
gp:AOqpTOFvMyAg7utF0szcTh6vUe8luaMvI9xO3QWZUn9IZcNl9MNqN3Q8YyN0LGGdCdyQTqTFKplC9egp8hMG4nc,Landon Harms,https://play-lh.googleusercontent.com/a-/AOh14GgKrFs08xXU1lSE5_4RiaeRbJSBo2mtzuphe_kkAQ,1.18.2.03,5,,Honestly its Minecraft that's all I really need to say. Minecraft is a game I've played since 2012 and its easily one of the funnest games I ever seen because its a sandbox. There are no limits besides how far your imagination can stretch and thats really fun. Because of this game I've been a lot more creative and it made me want to write a book. So its fun as hell and I hope to see more fun updates like the new caves and cliffs one thats coming out soon. 10/10 game chefs kiss and I just love it,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOFvMyAg7utF0szcTh6vUe8luaMvI9xO3QWZUn9IZcNl9MNqN3Q8YyN0LGGdCdyQTqTFKplC9egp8hMG4nc
gp:AOqpTOHQJXklLf_LGcOxMM-fHZSxg9mFSf-YRSDXt4X89HuoBh3ZQb1pfvMDHoeu8c3MjXfBJw0vht9rShPSI9E,Threadbare Splendor,https://play-lh.googleusercontent.com/a-/AOh14Gh83vWJS4FmrVIGkPQWzd_BvVOcIPmEzxVtnbwp,1.18.1.02,4,,"Really great and fun, but the new update is so hard to love. I really wanted to find a lush cave or the drip stone cave, I flew around in creative mode forever looking for the trees with purple flowers, because I heard underneath them is a lush cave if you dig deep enough, but I couldn't find one! I've also tried looking for drip stone caves and I just can't! Please at least for now make them a tad easier to find? I saw lush caves on YouTube and my sister found one on the PS4, w no axalotls btw",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHQJXklLf_LGcOxMM-fHZSxg9mFSf-YRSDXt4X89HuoBh3ZQb1pfvMDHoeu8c3MjXfBJw0vht9rShPSI9E
gp:AOqpTOFTZvJtCUilCY0iMgVpgu_fWbx2udmeNDP99uSCsI9ULXpxQ3BOv_1OGXEA-8q4Ixn70KxUe_X_No_pgqQ,TheRobloxFox Games Rule,https://play-lh.googleusercontent.com/a-/AOh14GjSGZBUBfON5lsR8lJs611wLcyEGbwKiPHhm2N1,1.18.2.03,5,,Minecraft is the funnest game I have ever played. You can play add-ons and mods with friends. Explore your world and build houses and farms. And if you have a lots of friends you can create a realm but it does cost 5$ or more or less. And if you don't know which add-on to pick you can even choose store add-ons. There's even servers that people create like Lifeboat or hive if you play hives server I recommend SkyWars it is so fun! You can even make friends on servers and play together. The end.,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOFTZvJtCUilCY0iMgVpgu_fWbx2udmeNDP99uSCsI9ULXpxQ3BOv_1OGXEA-8q4Ixn70KxUe_X_No_pgqQ
gp:AOqpTOFquzINCMSLhsA1NneM0ba2PEquUcGOcbky6EFMHByLrQkkZSdJHTUL40ty80Ew0ZwdbESHAe0kVccLOlc,Kayla Medeiros,https://play-lh.googleusercontent.com/a-/AOh14GgqGyt6upV-2F63SXl1qGfQLCGOemTNPSTPmtuZQ8A,1.18.2.03,2,,"Don't get me wrong I love minecraft but lately it won't load me into my Microsoft account which makes my skin, name, or the ability to play with friends unavailable and if it does load it takes forever. Also It keeps kicking me and it will also say to clear my cache because there is a bug but how many times am i going to do this! Its getting annoying. Fix whatever this bug is pls.",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOFquzINCMSLhsA1NneM0ba2PEquUcGOcbky6EFMHByLrQkkZSdJHTUL40ty80Ew0ZwdbESHAe0kVccLOlc
gp:AOqpTOGSPktTNAYkYw3mrmpEJOToYbl3gaFHAJ3qVTZIgEFOfjD2YIkv_Yf_rYQctkLypTnurBgpwgxE7LwrKzs,Romell Williams,https://play-lh.googleusercontent.com/a/AATXAJymMr7KPu5TTcylps-30XVUfzHg89ICGlaE1aJF=mo,1.18.2.03,4,,"I gave this a 4 because, there is this bug (well I think it's a bug) where I login one day and the next it logs me out with error code ghast. I follow the instructions of the code, but it still doesn't work. Please fix this. Other than that the game is perfect.",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOGSPktTNAYkYw3mrmpEJOToYbl3gaFHAJ3qVTZIgEFOfjD2YIkv_Yf_rYQctkLypTnurBgpwgxE7LwrKzs
gp:AOqpTOGsM-wx13yAcXn7xgdYhLOAnYO33jdtCD1t2Rl0hSD4ifjE0J8mVBms8B6CGFBMCZC5Fl3FzassOV1BCWc,Dr. RexTvo,https://play-lh.googleusercontent.com/a-/AOh14Gif1YBCLJEkw0r_YVSl-k_BJ1PXH6gfv5H6LSI14A,1.18.2.03,5,,It's s minecraft minecraft is always a great game but beware the lag and map not loading if you have a bad phone and a lot of other problems that you might see always have your equipment at hand and explore the wild lands that you will have to conquer and exploit every part of the earth until you become the most rich person in the wolrd I got carried away there just have fun.,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOGsM-wx13yAcXn7xgdYhLOAnYO33jdtCD1t2Rl0hSD4ifjE0J8mVBms8B6CGFBMCZC5Fl3FzassOV1BCWc
gp:AOqpTOEvlwsLSWV2rS9lPNUGH_I5ErS2BBeclZAhPhC2qkcX1a02mkQjeXR0Lsmg8AozEEbQfUM1MQZ2A8JRniU,Mylah Dee,https://play-lh.googleusercontent.com/a/AATXAJxEVYcZPnMzILpx6WkdausyUjglEstcKrBZ5rES=mo,1.18.1.02,5,,"Imo minecraft is the perfect game. It has support for all input methods(controller, touch, keyboard and mouse). It supports mods via addons. It provides literally hours and for some people me included years of fun and replaying the game. Servers are great for friends and pvp. Community resource packs and behavior packs make a great way to change up the game. My only slight problem is I would love a customizable hud for touch screen like some shooters on android for when playing pvp on servers",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEvlwsLSWV2rS9lPNUGH_I5ErS2BBeclZAhPhC2qkcX1a02mkQjeXR0Lsmg8AozEEbQfUM1MQZ2A8JRniU
