Id,UserName,UserURL,Version,Score,Title,Text,URL
gp:AOqpTOEkAXajUf3va98_2kg_p4lc-LLu0NHIqotMAUrzlDJ4h9h0TF6xcF0tLqwNN4qhrrxeJ0E8mOPV4E56x6Q,charlie brown,https://play-lh.googleusercontent.com/a/AATXAJysI__u5J70VnY960PvN14MIf2TuXVt2QMjpcLn=mo,1.18.2.03,5,,YEET,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEkAXajUf3va98_2kg_p4lc-LLu0NHIqotMAUrzlDJ4h9h0TF6xcF0tLqwNN4qhrrxeJ0E8mOPV4E56x6Q
gp:AOqpTOHOWmMisQQs8kJn-XvD9I_z-V2Yk75c80DS-8fmjtSHK9NWE5GkE2BYOEpDKiFJFkw1_GNnb6pk_RYOTJY,Reid Johnston,https://play-lh.googleusercontent.com/a/AATXAJz8dnys0FHS8Q3XoVuWtZ0AejyoOXFTbK-Qagc0=mo,1.18.2.03,1,,"I can't login anymore. I've tried following the help for ""Drowned"" error but still won't work.",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHOWmMisQQs8kJn-XvD9I_z-V2Yk75c80DS-8fmjtSHK9NWE5GkE2BYOEpDKiFJFkw1_GNnb6pk_RYOTJY
gp:AOqpTOEYy37pySiiKrnS5zT0ZcfRe5oWjX10Pp-84k8q0rbDr7uYUUGqJmo-Y1tdAxYCTOvAkqdmtJYUIMC5awE,Wyatt Wilson,https://play-lh.googleusercontent.com/a-/AOh14GjeZGrpNJmfyVF-RVE1fVwUX3eNU8Txgn9-OwpSBQ,1.18.2.03,5,,10/10 best game I've ever played!. It's amazing for newer generations!.,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEYy37pySiiKrnS5zT0ZcfRe5oWjX10Pp-84k8q0rbDr7uYUUGqJmo-Y1tdAxYCTOvAkqdmtJYUIMC5awE
gp:AOqpTOG3G0MdgdG2C3HHxBelcW7NXifoqRDUR2Rc8RcLjn-JBfdu2ResO5_Hu2MEJ2TdJ8aUGXCdmUnphKL3LDU,Michael The Meh,https://play-lh.googleusercontent.com/a-/AOh14GjArEVJVMQ-kcLrOocaWZVAIatVSfLK71GJDRqZWA,1.18.2.03,5,,Its cool exept some mods,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOG3G0MdgdG2C3HHxBelcW7NXifoqRDUR2Rc8RcLjn-JBfdu2ResO5_Hu2MEJ2TdJ8aUGXCdmUnphKL3LDU
gp:AOqpTOHuF8O7y6OVO0lLp6Zpt4bCfizcF3vqplZblM9QZiRXK5KRyE2_B92YCQEPfMKduR3Y5sLqUwU2LyP2S6I,Colin Davy,https://play-lh.googleusercontent.com/a/AATXAJyxqL8GHb0AMypFOYejn96oNzHISVsJ8I6u0nHB=mo,1.18.2.03,5,,yep You Is,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHuF8O7y6OVO0lLp6Zpt4bCfizcF3vqplZblM9QZiRXK5KRyE2_B92YCQEPfMKduR3Y5sLqUwU2LyP2S6I
gp:AOqpTOH6yhJ7eOyRUzn2FQWWsWJgfNVnxySNBygerKU26AEC2B-RVFz-7-i9MLIXqxL-X_Qr-NuP_knVg9cSoBA,Iancu David,https://play-lh.googleusercontent.com/a-/AOh14Ggt1LtitoO02j8zoKntBEy1MqjlGaGJ7SUuGJCOmA,,1,,make an option like on java to play on older versions because the 1.18 update is an enourmos pile of trash,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOH6yhJ7eOyRUzn2FQWWsWJgfNVnxySNBygerKU26AEC2B-RVFz-7-i9MLIXqxL-X_Qr-NuP_knVg9cSoBA
gp:AOqpTOHuDtX1IclNuyxGvDHwLxOstTYZ0HVDb6OIOA4mWeNN1IO5bv8mrDInIAkcb5i0i_30AfQO5Y5qGzjOtaQ,ansonbekillingit hi,https://play-lh.googleusercontent.com/a-/AOh14Gh0HuFCW4ipKNrKoQNUmkuqIoLZjsaiWVwSeig6,1.17.40.06,1,,It so bad never play it,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHuDtX1IclNuyxGvDHwLxOstTYZ0HVDb6OIOA4mWeNN1IO5bv8mrDInIAkcb5i0i_30AfQO5Y5qGzjOtaQ
gp:AOqpTOEnGXSndB1pkccrsgfteer75V7JwDS_NKMx9joCVx_e-tLMyE38Bt1E9Qg4UZO7Td-kI57DqnOPx7TOCsY,Pat Noone,https://play-lh.googleusercontent.com/a-/AOh14GgtWPS4sbcdx2kyOTvWdWsWrfG4moP4JZDndf-cbyM,1.18.2.03,5,,Why is it free,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEnGXSndB1pkccrsgfteer75V7JwDS_NKMx9joCVx_e-tLMyE38Bt1E9Qg4UZO7Td-kI57DqnOPx7TOCsY
gp:AOqpTOE8OCCUfjKaL6VXbedXnHuzo8j5kIjM8dhrc_xbZ0mKyUNyY3a4ulb98Pgz8sYofz6ONqxNKTuoMjG-Xa8,Naomi Luccock,https://play-lh.googleusercontent.com/a-/AOh14Gi-X1SdgkV_2RQns6-1SKkpTNkaTgt71e9shtgZiw,1.18.2.03,5,,"I give it this because I wish it was more like the real world. Can you add more furniture, building materials, modes of transportation, electronics, food, nature, animals, pets, activities, and more decorations. Please add some of these things into minecraft in the next update. I love having no adds. I love minecraft! Don't get rid of creative, survival, or adventure modes because I love them all. But one more thing can you fix the glitches and crashes please? What are the far lands?",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOE8OCCUfjKaL6VXbedXnHuzo8j5kIjM8dhrc_xbZ0mKyUNyY3a4ulb98Pgz8sYofz6ONqxNKTuoMjG-Xa8
gp:AOqpTOHkjxJtG0BLRXawjdJMih_dyX7lwN7z_Snp2ypRzSuDCJOHoyo9MkW4g93T5kbhbbST2omoX_8HG2b4lPI,sharon timbuleng,https://play-lh.googleusercontent.com/a/AATXAJyzghBqbi7WX4Jc8kct9lssUYeuepX96-b_9rCb=mo,1.18.2.03,5,,I don't like Lags,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHkjxJtG0BLRXawjdJMih_dyX7lwN7z_Snp2ypRzSuDCJOHoyo9MkW4g93T5kbhbbST2omoX_8HG2b4lPI
